id,type,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
12355,tdpseTerbit,171122014267200000001,CITRA SELARAS INTEGRASI,Surabayacam.com,Sektor Teknologi Informasi dan Komunikasi,CITRA SELARAS INTEGRASI,2022-11-17,008513.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/f05f4ec44834d7d4abf362ab5b56dac4.png,TERDAFTAR,12150
12354,tdpseTerbit,028301008126800050001,MY SKIN BUT BETTER (MSBB),myskinbutbetter.com,Sektor Perdagangan,BYVO BEAUTYPHARMA INDONESIA,2022-11-17,008512.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/e12437744f1f9f93d7743681032e994c.png,TERDAFTAR,12149
12350,tdpseTerbit,812010880268500000001,ZISNU DAN CATATZAKAT,my.zisnu.id,Sektor Teknologi Informasi dan Komunikasi,PT TITIK TERANG TEKNOLOGI,2022-11-17,008511.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/91b354c12044be8dd58843b37910edaf.png,TERDAFTAR,12145
12345,tdpseTerbit,171122000714300010001,HIDJAZ,hidjaz.com,Sektor Perdagangan,HIZAZ AMIRULLAH,2022-11-17,008507.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/ca1dc369cfa79bc5f0bf3846f1e094c2.png,TERDAFTAR,12138
12429,tdpseTerbit,301121003150100050001,EMPLOYEE EXPERIENCE PLATFORM (EMX),talentsights.id,Sektor Teknologi Informasi dan Komunikasi,TALENTA BERBAKAT INDONESIA,2022-11-22,008506.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/f0e828645854a3d0cecec236a4ba7a56.png,TERDAFTAR,12223
12495,tdpseTerbit,022000094254500040002,ORBIT FUTURE ACADEMY,orbitfutureacademy.id,Sektor Teknologi Informasi dan Komunikasi,ORBIT VENTURA INDONESIA,2022-11-25,008505.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/7b709f15a4a37515b4fc771e6b073949.png,TERDAFTAR,12254
12422,tdpseTerbit,022000094254500040001,ORBIT JOBS,orbitjobs.id,Sektor Teknologi Informasi dan Komunikasi,ORBIT VENTURA INDONESIA,2022-11-21,008505.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/bb9941ec5f486335947e59e5aced0e1e.png,TERDAFTAR,12215
12341,tdpseTerbit,081122003760700000001,APLIKASI ABSENSI MOBILE APARATUR,-,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",GORONTALO INFORMATIKA,2022-11-17,008503.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/1f52140fdb45fee27bbd79c47a48b4cd.png,TERDAFTAR,12135
12342,tdpseTerbit,161122008865100000002,"UBEEKA STARTUP,TEMANHAJI,ANTARSAJA,DEPOAIR ONLINE,SPP,SAMBILAN",ubk.web.id,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi, Sektor Pangan",USAHA BERSAMA KOMUNITAS INTERNASIONAL,2022-11-17,008502.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/0c3d1ebe2d180f79c5f6dc82b482fbe7.png,TERDAFTAR,12137
12339,tdpseTerbit,161122008865100000001,MYCLNQ HEALTHY INDONESIA,myclnq.co,Sektor Kesehatan,USAHA BERSAMA KOMUNITAS INTERNASIONAL,2022-11-16,008502.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/21697ff7429eb34455d47d965db76071.png,TERDAFTAR,12133
